,Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
0,Total Revenue,"157,050,000","153,743,000","48,569,000","41,616,000","39,668,000"
1,Total Expenses,"150,299,000","147,173,000","44,988,000","38,010,000","36,689,000"
2,Pretax Income,"6,751,000","6,570,000","3,581,000","3,606,000","2,979,000"
3,Tax Provision,"1,420,000","1,450,000","935,000","1,374,000","1,136,000"
4,Net Income Common Stockholders,"5,300,000","5,104,000","2,637,000","2,237,000","1,867,000"
5,Diluted NI Available to Com Stockholders,"5,300,000","5,104,000","2,637,000","2,237,000","1,867,000"
6,Basic EPS,-,0.0136,0.0107,0.0092,0.0073
7,Diluted EPS,-,0.0134,0.0105,0.0092,0.0072
8,Basic Average Shares,-,"375,919","246,652","243,967","255,360"
9,Diluted Average Shares,-,"379,817","250,225","243,967","259,647"
10,Net Income from Continuing & Discontinued Operation,"5,300,000","5,104,000","2,637,000","2,237,000","1,867,000"
11,Normalized Income,"5,458,722","5,105,558","2,637,000","2,237,000","1,867,000"
12,EBIT,"8,243,000","8,252,000","4,079,000","3,858,000",-
13,Reconciled Depreciation,"3,016,000","3,651,000","695,000","566,000","610,000"
14,Net Income from Continuing Operation Net Minority Interest,"5,300,000","5,104,000","2,637,000","2,237,000","1,867,000"
15,Total Unusual Items Excluding Goodwill,"-201,000","-2,000",0,"-520,000",-
16,Total Unusual Items,"-201,000","-2,000",0,"-520,000",-
17,Tax Rate for Calcs,0,0,0,0,0
18,Tax Effect of Unusual Items,"-42,278",-442,0,0,0
19,Interest Expense,"1,492,000","1,682,000","498,000","252,000",-
