,Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
0,Total Revenue,"101,690,000","74,639,000","60,116,000","48,382,000","40,607,000"
1,Cost of Revenue,"87,704,000","65,796,000","51,695,000","42,581,000","35,063,000"
2,Gross Profit,"13,986,000","8,843,000","8,421,000","5,801,000","5,544,000"
3,Operating Expense,"10,570,000","6,791,000","6,963,000","4,602,000","4,284,000"
4,Operating Income,"3,416,000","2,052,000","1,458,000","1,199,000","1,260,000"
5,Net Non Operating Interest Income Expense,"-664,000","-412,000","-343,000","-255,000","-217,000"
6,Other Income Expense,"355,000","142,000","253,000","190,000","114,000"
7,Pretax Income,"3,107,000","1,782,000","1,368,000","1,134,000","1,157,000"
8,Tax Provision,"1,092,000","473,000","474,000","326,000","599,000"
9,Net Income Common Stockholders,"2,029,000","1,321,000","900,000","828,000","562,000"
10,Diluted NI Available to Com Stockholders,"2,029,000","1,321,000","900,000","828,000","562,000"
11,Basic EPS,-,0.0032,0.0023,0.0024,0.0018
12,Diluted EPS,-,0.0031,0.0023,0.0023,0.0017
13,Basic Average Shares,-,"413,487","390,248","345,000","319,135"
14,Diluted Average Shares,-,"420,409","398,506","353,092","327,951"
15,Total Operating Income as Reported,"3,344,000","1,781,000","1,458,000","1,199,000","1,260,000"
16,Total Expenses,"98,274,000","72,587,000","58,658,000","47,183,000","39,347,000"
17,Net Income from Continuing & Discontinued Operation,"2,029,000","1,321,000","900,000","828,000","562,000"
18,Normalized Income,"1,798,770","1,216,630","734,538","692,530","490,600"
19,Interest Expense,"664,000","412,000","343,000","255,000","217,000"
20,Net Interest Income,"-664,000","-412,000","-343,000","-255,000","-217,000"
21,EBIT,"3,771,000","2,194,000","1,711,000","1,389,000","1,374,000"
22,EBITDA,"4,855,000",-,-,-,-
23,Reconciled Cost of Revenue,"87,211,000","65,411,000","51,411,000","42,376,000","34,932,000"
24,Reconciled Depreciation,"1,084,000","643,000","495,000","361,000","278,000"
25,Net Income from Continuing Operation Net Minority Interest,"2,029,000","1,321,000","900,000","828,000","559,000"
26,Total Unusual Items Excluding Goodwill,"355,000","142,000","253,000","190,000","114,000"
27,Total Unusual Items,"355,000","142,000","253,000","190,000","114,000"
28,Normalized EBITDA,"4,500,000","2,695,000","1,953,000","1,560,000","1,538,000"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"124,770","37,630","87,538","54,530","45,600"
