,Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
0,Total Revenue,"50,763,000","51,336,000","46,677,000","43,614,000","41,490,000"
1,Cost of Revenue,"31,881,000","32,041,000","29,149,000","27,375,000","25,830,000"
2,Gross Profit,"18,882,000","19,295,000","17,528,000","16,239,000","15,660,000"
3,Operating Expense,"12,046,000","12,077,000","10,886,000","10,182,000","9,462,000"
4,Operating Income,"6,836,000","7,218,000","6,642,000","6,057,000","6,198,000"
5,Net Non Operating Interest Income Expense,"-1,639,000","-1,824,000","-1,755,000","-1,690,000","-1,707,000"
6,Other Income Expense,"-232,000","-150,000","448,000","14,000","319,000"
7,Pretax Income,"4,965,000","5,244,000","5,335,000","4,381,000","4,810,000"
8,Tax Provision,"999,000","1,099,000","946,000","1,638,000","1,378,000"
9,Net Income Common Stockholders,"3,399,000","3,505,000","3,787,000","2,216,000","2,890,000"
10,Diluted NI Available to Com Stockholders,"3,399,000","3,505,000","3,787,000","2,216,000","2,890,000"
11,Basic EPS,-,0.0104,0.011,0.0063,0.0078
12,Diluted EPS,-,0.0101,0.0107,0.006,0.0073
13,Basic Average Shares,-,"338,446","342,895","350,092","370,536"
14,Diluted Average Shares,-,"348,226","355,303","372,221","395,851"
15,Total Expenses,"43,927,000","44,118,000","40,035,000","37,557,000","35,292,000"
16,Net Income from Continuing & Discontinued Operation,"3,399,000","3,505,000","3,787,000","2,216,000","2,890,000"
17,Normalized Income,"3,638,637","3,657,470","3,442,163","2,235,409","2,710,595"
18,Interest Expense,"1,639,000","1,824,000","1,755,000","1,690,000","1,707,000"
19,Net Interest Income,"-1,639,000","-1,824,000","-1,755,000","-1,690,000","-1,707,000"
20,EBIT,"6,604,000","7,068,000","7,090,000","6,071,000","6,517,000"
21,EBITDA,"9,357,000",-,-,-,-
22,Reconciled Cost of Revenue,"31,881,000","32,041,000","29,149,000","27,375,000","25,830,000"
23,Reconciled Depreciation,"2,753,000","2,596,000","2,278,000","2,131,000","1,966,000"
24,Net Income from Continuing Operation Net Minority Interest,"3,399,000","3,505,000","3,787,000","2,216,000","2,890,000"
25,Total Unusual Items Excluding Goodwill,"-300,000","-193,000","419,000","-31,000","265,000"
26,Total Unusual Items,"-300,000","-193,000","419,000","-31,000","265,000"
27,Normalized EBITDA,"9,657,000","9,857,000","8,949,000","8,233,000","8,218,000"
28,Tax Rate for Calcs,0,0,0,0,0
29,Tax Effect of Unusual Items,"-60,363","-40,530","74,163","-11,591","85,595"
