,Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
0,Total Revenue,"251,085,000","240,269,000","224,871,000","200,136,000","184,012,000"
1,Cost of Revenue,"186,224,000","184,557,000","172,401,000","154,148,000","141,454,000"
2,Gross Profit,"64,861,000","55,712,000","52,470,000","45,988,000","42,558,000"
3,Operating Expense,"42,368,000","37,913,000","36,502,000","31,802,000","30,456,000"
4,Operating Income,"22,493,000","17,799,000","15,968,000","14,186,000","12,102,000"
5,Net Non Operating Interest Income Expense,"-1,699,000","-1,704,000","-1,400,000","-1,186,000","-1,067,000"
6,Other Income Expense,"1,490,000","1,886,000","1,376,000","1,023,000","828,000"
7,Pretax Income,"22,284,000","17,981,000","15,944,000","14,023,000","11,863,000"
8,Tax Provision,"5,199,000","3,742,000","3,562,000","3,200,000","4,790,000"
9,Net Income Common Stockholders,"16,732,000","13,839,000","11,986,000","10,558,000","7,017,000"
10,Diluted NI Available to Com Stockholders,"16,732,000","13,839,000","11,986,000","10,558,000","7,017,000"
11,Basic EPS,-,0.0146,0.0125,0.0109,0.0076
12,Diluted EPS,-,0.0143,0.0122,0.0101,0.0075
13,Basic Average Shares,-,"948,000","960,000","969,000","952,000"
14,Diluted Average Shares,-,"966,000","983,000","985,000","968,000"
15,Total Operating Income as Reported,"23,983,000","19,685,000","17,344,000","15,209,000","12,930,000"
16,Total Expenses,"228,592,000","222,470,000","208,903,000","185,950,000","171,910,000"
17,Net Income from Continuing & Discontinued Operation,"16,732,000","13,839,000","11,986,000","10,558,000","7,017,000"
18,Normalized Income,"15,589,627","12,345,288","10,916,848","9,768,244","6,520,200"
19,Interest Expense,"1,699,000","1,704,000","1,400,000","1,186,000","1,067,000"
20,Net Interest Income,"-1,699,000","-1,704,000","-1,400,000","-1,186,000","-1,067,000"
21,EBIT,"23,983,000","19,685,000","17,344,000","15,209,000","12,930,000"
22,EBITDA,"26,860,000",-,-,-,-
23,Reconciled Cost of Revenue,"186,224,000","184,557,000","172,401,000","154,148,000","141,454,000"
24,Reconciled Depreciation,"2,877,000","2,720,000","2,428,000","2,245,000","2,055,000"
25,Net Income from Continuing Operation Net Minority Interest,"16,732,000","13,839,000","11,986,000","10,558,000","7,017,000"
26,Total Unusual Items Excluding Goodwill,"1,490,000","1,886,000","1,376,000","1,023,000","828,000"
27,Total Unusual Items,"1,490,000","1,886,000","1,376,000","1,023,000","828,000"
28,Normalized EBITDA,"25,370,000","20,519,000","18,396,000","16,431,000","14,157,000"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"347,627","392,288","306,848","233,244","331,200"
